epoch,lr,train_total,train_det,train_seg,train_cls,val_total,val_det,val_seg,val_cls
1,3.00e-05,13.1302,0.0120,1.5547,2.3127,13.1331,0.0095,1.5596,2.3128
2,3.00e-05,13.0900,0.0082,1.5150,2.3134,13.0484,0.0084,1.5139,2.3052
3,2.99e-05,13.0433,0.0076,1.4774,2.3117,13.0346,0.0085,1.4890,2.3074
4,2.98e-05,12.9974,0.0073,1.4520,2.3076,12.9978,0.0084,1.4723,2.3034
5,2.97e-05,12.9708,0.0070,1.4289,2.3070,12.9826,0.0085,1.4521,2.3044
6,2.96e-05,12.9250,0.0068,1.4054,2.3026,12.9471,0.0084,1.4298,2.3018
7,2.95e-05,12.8700,0.0066,1.3820,2.2963,12.9214,0.0080,1.4065,2.3014
