epoch,lr,train_total,train_det,train_seg,train_cls,val_total,val_det,val_seg,val_cls
1,4.00e-04,8.6914,0.0065,0.9361,2.2666,8.2207,0.0070,0.6013,2.3324
2,3.99e-04,7.3840,0.0035,0.5353,2.1010,7.4350,0.0045,0.4639,2.1645
3,3.99e-04,5.4542,0.0026,0.3828,1.5602,6.0563,0.0045,0.4209,1.7336
4,3.98e-04,3.7378,0.0023,0.2898,1.0504,5.1243,0.0036,0.2828,1.5160
5,3.96e-04,2.8214,0.0021,0.2293,0.7855,4.8444,0.0037,0.2798,1.4246
6,3.94e-04,2.1017,0.0020,0.1768,0.5806,4.7504,0.0034,0.2072,1.4419
7,3.93e-04,1.6194,0.0020,0.1447,0.4413,3.5206,0.0027,0.1768,1.0529
8,3.90e-04,1.2461,0.0019,0.1154,0.3365,2.5744,0.0027,0.1443,0.7593
9,3.88e-04,1.0000,0.0018,0.0993,0.2653,2.8288,0.0029,0.1836,0.8176
10,3.85e-04,0.8225,0.0017,0.0873,0.2142,3.1191,0.0027,0.1578,0.9318
11,3.82e-04,0.6701,0.0016,0.0811,0.1678,2.7575,0.0027,0.1428,0.8213
12,3.78e-04,0.6022,0.0016,0.0735,0.1501,2.5875,0.0026,0.1190,0.7806
13,3.75e-04,0.5283,0.0016,0.0705,0.1276,2.7496,0.0028,0.1458,0.8165
14,3.71e-04,0.4472,0.0015,0.0617,0.1064,2.8112,0.0027,0.1402,0.8409
15,3.66e-04,0.3940,0.0015,0.0593,0.0903,2.6448,0.0028,0.1300,0.7921
16,3.62e-04,0.3578,0.0015,0.0543,0.0815,2.4166,0.0031,0.1071,0.7310
17,3.57e-04,0.3311,0.0015,0.0525,0.0738,3.8586,0.0027,0.1680,1.1715
18,3.52e-04,0.2835,0.0014,0.0486,0.0607,2.7986,0.0029,0.1349,0.8400
19,3.47e-04,0.2636,0.0014,0.0494,0.0535,2.7299,0.0025,0.1249,0.8241
20,3.42e-04,0.2416,0.0013,0.0462,0.0484,2.8292,0.0029,0.1140,0.8642
21,3.36e-04,0.2207,0.0014,0.0440,0.0427,2.6713,0.0028,0.1215,0.8067
22,3.30e-04,0.2043,0.0014,0.0414,0.0392,2.7968,0.0026,0.1041,0.8603
23,3.24e-04,0.1986,0.0013,0.0409,0.0376,2.6151,0.0025,0.1077,0.7974
24,3.18e-04,0.1855,0.0013,0.0396,0.0342,3.9313,0.0028,0.1357,1.2172
25,3.11e-04,0.1683,0.0013,0.0385,0.0291,2.7677,0.0023,0.1224,0.8386
26,3.05e-04,0.1659,0.0013,0.0369,0.0294,2.6677,0.0026,0.1187,0.8075
