epoch,lr,train_total,train_det,train_seg,train_cls,val_total,val_det,val_seg,val_cls
1,6.00e-04,11.4942,0.0048,0.8055,2.2670,10.3136,0.0051,0.3755,2.2942
2,5.99e-04,9.5327,0.0016,0.3746,2.1014,9.7531,0.0032,0.3623,2.1650
3,5.98e-04,8.4427,0.0011,0.2760,1.9031,8.5309,0.0032,0.2613,1.9352
4,5.96e-04,6.6172,0.0009,0.2097,1.4965,7.7069,0.0020,0.2908,1.7077
5,5.94e-04,4.6095,0.0007,0.1765,1.0196,5.9284,0.0025,0.2188,1.3167
6,5.92e-04,3.4467,0.0007,0.1598,0.7415,4.0885,0.0017,0.1801,0.8862
7,5.89e-04,2.6444,0.0006,0.1323,0.5615,4.4956,0.0016,0.1608,1.0025
8,5.85e-04,2.1065,0.0006,0.1240,0.4333,4.4663,0.0020,0.1890,0.9738
9,5.81e-04,1.7127,0.0007,0.1067,0.3478,3.5406,0.0017,0.1433,0.7768
10,5.77e-04,1.4359,0.0006,0.0932,0.2888,4.1361,0.0021,0.1644,0.9097
11,5.72e-04,1.1832,0.0005,0.0924,0.2262,3.0699,0.0020,0.1455,0.6574
12,5.67e-04,1.0085,0.0006,0.0778,0.1934,3.2003,0.0021,0.1336,0.6989
13,5.62e-04,0.8472,0.0005,0.0734,0.1565,4.1300,0.0018,0.1490,0.9199
14,5.56e-04,0.7404,0.0004,0.0704,0.1321,3.8297,0.0020,0.1206,0.8660
15,5.50e-04,0.6340,0.0004,0.0614,0.1123,4.4531,0.0015,0.1282,1.0164
16,5.43e-04,0.5986,0.0004,0.0633,0.1020,2.6332,0.0018,0.1221,0.5658
17,5.36e-04,0.5558,0.0004,0.0570,0.0961,3.4797,0.0022,0.1199,0.7789
18,5.28e-04,0.4672,0.0004,0.0548,0.0755,3.2197,0.0019,0.1034,0.7264
19,5.20e-04,0.4335,0.0004,0.0537,0.0679,2.8685,0.0015,0.1369,0.6137
20,5.12e-04,0.3696,0.0003,0.0494,0.0552,2.3954,0.0013,0.1016,0.5220
21,5.04e-04,0.3610,0.0003,0.0458,0.0558,3.1353,0.0017,0.0859,0.7185
22,4.95e-04,0.3188,0.0003,0.0440,0.0465,2.1049,0.0015,0.1084,0.4442
23,4.86e-04,0.2988,0.0003,0.0401,0.0445,2.6641,0.0017,0.1017,0.5889
24,4.77e-04,0.3048,0.0003,0.0418,0.0447,2.3025,0.0017,0.1016,0.4986
25,4.67e-04,0.2795,0.0002,0.0400,0.0398,3.3684,0.0017,0.0951,0.7699
26,4.57e-04,0.2517,0.0002,0.0404,0.0325,2.6650,0.0019,0.1068,0.5852
27,4.47e-04,0.2694,0.0002,0.0390,0.0380,3.4049,0.0017,0.0798,0.7905
28,4.36e-04,0.2255,0.0002,0.0383,0.0275,2.1595,0.0017,0.0965,0.4667
29,4.26e-04,0.2116,0.0002,0.0366,0.0253,2.5680,0.0016,0.1007,0.5657
30,4.15e-04,0.1931,0.0002,0.0347,0.0222,3.4375,0.0016,0.1011,0.7828
31,4.04e-04,0.1917,0.0002,0.0334,0.0228,2.8681,0.0020,0.1065,0.6361
32,3.93e-04,0.2114,0.0002,0.0328,0.0281,2.5199,0.0015,0.0901,0.5617
