epoch,lr,train_total,train_det,train_seg,train_cls,val_total,val_det,val_seg,val_cls
1,3.00e-04,8.7367,0.0085,0.9242,2.2876,7.9108,0.0100,0.4732,2.3114
2,3.00e-04,7.3712,0.0078,0.3822,2.1945,7.4027,0.0105,0.2912,2.2630
3,2.99e-04,6.5289,0.0078,0.2769,1.9839,6.8777,0.0098,0.2522,2.1146
4,2.98e-04,4.8036,0.0076,0.1996,1.4606,5.4530,0.0095,0.1978,1.6763
5,2.97e-04,3.2744,0.0073,0.1579,0.9789,4.8262,0.0096,0.1848,1.4759
6,2.96e-04,2.4226,0.0074,0.1399,0.7069,4.1948,0.0098,0.1592,1.2824
7,2.94e-04,1.8111,0.0073,0.1137,0.5206,3.4371,0.0094,0.1512,1.0354
8,2.93e-04,1.3555,0.0073,0.0976,0.3795,3.1427,0.0099,0.1491,0.9383
9,2.91e-04,1.0635,0.0070,0.0864,0.2898,3.9151,0.0099,0.1222,1.2136
10,2.89e-04,0.8416,0.0070,0.0773,0.2220,4.5086,0.0093,0.1241,1.4108
11,2.86e-04,0.6912,0.0070,0.0719,0.1755,2.6801,0.0091,0.1114,0.8100
12,2.84e-04,0.5590,0.0069,0.0669,0.1347,2.6646,0.0091,0.0966,0.8147
13,2.81e-04,0.4797,0.0067,0.0596,0.1135,2.7228,0.0092,0.1133,0.8229
14,2.78e-04,0.4107,0.0066,0.0568,0.0924,3.1315,0.0087,0.1200,0.9551
15,2.75e-04,0.3739,0.0067,0.0529,0.0826,2.3992,0.0087,0.1430,0.6957
16,2.71e-04,0.3306,0.0062,0.0497,0.0709,2.1606,0.0091,0.1031,0.6423
17,2.68e-04,0.2934,0.0060,0.0481,0.0597,2.5190,0.0084,0.1261,0.7472
18,2.64e-04,0.2848,0.0060,0.0438,0.0597,2.2483,0.0084,0.1149,0.6644
19,2.60e-04,0.2451,0.0058,0.0452,0.0457,3.0476,0.0091,0.1253,0.9233
20,2.56e-04,0.2177,0.0056,0.0416,0.0392,2.6328,0.0081,0.1228,0.7877
21,2.52e-04,0.2232,0.0053,0.0403,0.0422,2.3753,0.0084,0.1178,0.7049
22,2.48e-04,0.1961,0.0052,0.0367,0.0357,2.2596,0.0072,0.1069,0.6748
23,2.43e-04,0.1722,0.0049,0.0364,0.0283,2.3727,0.0072,0.0996,0.7173
24,2.38e-04,0.1645,0.0049,0.0352,0.0264,2.6744,0.0078,0.0897,0.8239
25,2.34e-04,0.1696,0.0047,0.0350,0.0285,2.1733,0.0078,0.1396,0.6235
26,2.29e-04,0.1513,0.0045,0.0335,0.0236,3.7624,0.0078,0.1248,1.1632
